run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 0; 15; 7; 4096; 2.36338; 0.00165; 0.00011; 0.02931;  0.20319; 0.00203;  0.00203; 0.00005 ;  49263.438922 ; 5.480553 ;
 1; 15; 7; 4096; 2.36447; 0.00169; 0.00011; 0.02958;  0.20335; 0.00204;  0.00204; 0.00002 ;  49821.802889 ; 5.484168 ;
 2; 15; 7; 4096; 2.36237; 0.00169; 0.00010; 0.02958;  0.20328; 0.00204;  0.00204; 0.00002 ;  49387.828153 ; 5.481243 ;
 3; 15; 7; 4096; 2.36331; 0.00165; 0.00010; 0.02961;  0.20378; 0.00204;  0.00204; 0.00002 ;  49146.087817 ; 5.489893 ;
 4; 15; 7; 4096; 2.36330; 0.00164; 0.00011; 0.02975;  0.20407; 0.00204;  0.00204; 0.00003 ;  49989.618023 ; 5.494647 ;
 0; 15; 7; 8192; 5.37931; 0.00160; 0.00010; 0.02972;  0.37060; 0.00405;  0.00405; 0.00004 ;  49467.438138 ; 11.046104 ;
 1; 15; 7; 8192; 5.38415; 0.00178; 0.00010; 0.02978;  0.36994; 0.00406;  0.00406; 0.00003 ;  49305.791454 ; 11.041651 ;
 2; 15; 7; 8192; 5.38410; 0.00159; 0.00010; 0.02967;  0.37220; 0.00409;  0.00409; 0.00006 ;  49871.206408 ; 11.075599 ;
 3; 15; 7; 8192; 5.38244; 0.00157; 0.00011; 0.02992;  0.37251; 0.00411;  0.00411; 0.00003 ;  49474.417391 ; 11.079134 ;
 4; 15; 7; 8192; 5.38217; 0.00166; 0.00011; 0.03009;  0.37261; 0.00411;  0.00411; 0.00002 ;  49671.433895 ; 11.080660 ;
 0; 15; 8; 1024; 0.56076; 0.00328; 0.00019; 0.05674;  0.31580; 0.00104;  0.00104; 0.00005 ;  63536.601781 ; 5.376138 ;
 1; 15; 8; 1024; 0.43269; 0.00323; 0.00019; 0.05712;  0.31722; 0.00104;  0.00104; 0.00005 ;  63332.008786 ; 5.269945 ;
 2; 15; 8; 1024; 0.43258; 0.00317; 0.00020; 0.05722;  0.31799; 0.00104;  0.00104; 0.00005 ;  64286.028711 ; 5.281611 ;
