run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Copy Data; Total Time ;
 23; 15; 2; 1024; 0.00212; 1.64264; 0.00001; 0.37433;  4.411067e-06; 8.606133e-06; 87.81184;  89.831212 ;  
 24; 15; 2; 1024; 0.00274; 1.64467; 0.00002; 0.37515;  5.602400e-06; 9.625667e-06; 87.57110;  89.594016 ;  
 25; 15; 2; 1024; 0.00186; 1.64263; 0.00001; 0.37560;  4.827267e-06; 8.222200e-06; 86.99947;  89.019864 ;  
 26; 15; 2; 1024; 0.00168; 1.64192; 0.00001; 0.37845;  5.708333e-06; 7.880267e-06; 87.23329;  89.255642 ;  
 27; 15; 2; 1024; 0.00180; 1.64254; 0.00001; 0.37551;  4.503267e-06; 7.895667e-06; 87.23532;  89.255441 ;  
 28; 15; 2; 1024; 0.00184; 1.64212; 0.00001; 0.37866;  4.567067e-06; 8.128667e-06; 87.08496;  89.107863 ;  
 29; 15; 2; 1024; 0.01927; 1.64178; 0.00001; 0.37511;  4.968400e-06; 8.892200e-06; 87.54566;  89.582118 ;  
 0; 15; 2; 2048; 0.00705; 3.90054; 0.00002; 0.37482;  4.914000e-06; 8.992267e-06; 97.39133;  101.674076 ;  
 1; 15; 2; 2048; 0.00202; 3.90225; 0.00003; 0.37529;  5.099333e-06; 9.168600e-06; 97.60758;  101.887497 ;  
 2; 15; 2; 2048; 0.00185; 3.89799; 0.00001; 0.37509;  4.576800e-06; 8.096267e-06; 97.29562;  101.570859 ;  
 3; 15; 2; 2048; 0.00194; 3.89875; 0.00002; 0.37456;  4.528667e-06; 7.885000e-06; 96.53703;  100.812582 ;  
 4; 15; 2; 2048; 0.00191; 3.90023; 0.00001; 0.37490;  4.708933e-06; 8.771733e-06; 97.12936;  101.406709 ;  
 5; 15; 2; 2048; 0.00184; 3.89849; 0.00002; 0.37589;  4.404667e-06; 7.952200e-06; 96.92439;  101.200901 ;  
 6; 15; 2; 2048; 0.00208; 3.89944; 0.00001; 0.37503;  4.553867e-06; 7.856600e-06; 97.17602;  101.452865 ;  
 7; 15; 2; 2048; 0.00203; 3.89904; 0.00001; 0.37458;  4.504400e-06; 8.812467e-06; 97.10072;  101.376665 ;  
 8; 15; 2; 2048; 0.00194; 3.90111; 0.00003; 0.37758;  5.481067e-06; 1.000360e-05; 96.35111;  100.632137 ;  
 9; 15; 2; 2048; 0.01408; 3.89855; 0.00002; 0.37459;  4.439800e-06; 8.206467e-06; 97.54834;  101.835884 ;  
 10; 15; 2; 2048; 0.00192; 3.89984; 0.00001; 0.37444;  4.410267e-06; 7.911333e-06; 97.61963;  101.896132 ;  
 11; 15; 2; 2048; 0.01760; 3.90183; 0.00002; 0.37516;  5.607933e-06; 7.571867e-06; 96.30326;  100.598173 ;  
 12; 15; 2; 2048; 0.00208; 3.90097; 0.00002; 0.37810;  4.485200e-06; 8.016867e-06; 96.60230;  100.883757 ;  
 13; 15; 2; 2048; 0.00195; 3.89897; 0.00001; 0.37452;  4.258400e-06; 7.663200e-06; 97.69733;  101.973059 ;  
 14; 15; 2; 2048; 0.00245; 3.89997; 0.00001; 0.37380;  4.613733e-06; 7.860867e-06; 96.90587;  101.182389 ;  
 15; 15; 2; 2048; 0.00179; 3.89888; 0.00001; 0.37550;  5.081400e-06; 7.548267e-06; 96.65297;  100.929437 ;  
 16; 15; 2; 2048; 0.00185; 3.90210; 0.00001; 0.37709;  4.436867e-06; 7.913133e-06; 96.38775;  100.669108 ;  
 17; 15; 2; 2048; 0.00181; 3.90031; 0.00001; 0.37839;  4.418733e-06; 7.954600e-06; 96.45955;  100.740347 ;  
 18; 15; 2; 2048; 0.00191; 3.90018; 0.00001; 0.37619;  4.384333e-06; 8.458000e-06; 97.20784;  101.486411 ;  
 19; 15; 2; 2048; 0.00185; 3.90163; 0.00001; 0.37602;  4.754467e-06; 8.093200e-06; 96.77164;  101.051435 ;  
 20; 15; 2; 2048; 0.00241; 3.89810; 0.00001; 0.37900;  4.328733e-06; 7.761867e-06; 96.91648;  101.196280 ;  
 21; 15; 2; 2048; 0.00180; 3.89778; 0.00001; 0.37508;  4.350733e-06; 8.613667e-06; 96.97789;  101.252839 ;  
 22; 15; 2; 2048; 0.00184; 3.90026; 0.00001; 0.37535;  4.338267e-06; 7.608533e-06; 96.34655;  100.624275 ;  
